Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
1.783450,357.0500000,,1.783690,40.0097290,,1.783690,116.3802567
1.793460,357.0500000,,1.793690,40.0097303,,1.793690,116.3802566
1.803450,357.0400000,,1.803680,40.0097315,,1.803680,116.3802565
1.813440,357.0400000,,1.813680,40.0097328,,1.813680,116.3802565
1.823440,357.0400000,,1.823670,40.0097341,,1.823670,116.3802564
1.833450,357.0300000,,1.833680,40.0097353,,1.833680,116.3802563
1.843450,357.0300000,,1.843680,40.0097366,,1.843680,116.3802562
1.853450,357.0300000,,1.853680,40.0097379,,1.853680,116.3802561
1.863440,357.0300000,,1.863670,40.0097391,,1.863670,116.3802560
1.874590,357.0200000,,1.874830,40.0097404,,1.874830,116.3802559
1.884040,357.0200000,,1.884270,40.0097416,,1.884270,116.3802559
1.893880,357.0200000,,1.894110,40.0097429,,1.894110,116.3802558
1.903450,357.0100000,,1.903680,40.0097442,,1.903680,116.3802557
1.913440,357.0000000,,1.913670,40.0097454,,1.913670,116.3802556
1.923450,357.0000000,,1.923670,40.0097467,,1.923670,116.3802555
1.933440,357.0000000,,1.933670,40.0097480,,1.933670,116.3802554
1.943440,356.9900000,,1.943660,40.0097492,,1.943660,116.3802553
1.953440,356.9800000,,1.953670,40.0097505,,1.953670,116.3802552
1.963430,356.9700000,,1.963660,40.0097518,,1.963660,116.3802551
1.974580,356.9600000,,1.974800,40.0097530,,1.974800,116.3802551
1.983420,356.9600000,,1.983650,40.0097543,,1.983650,116.3802550
1.993430,356.9500000,,1.993660,40.0097556,,1.993660,116.3802549
2.003430,356.9400000,,2.003660,40.0097568,,2.003660,116.3802548
2.013430,356.9300000,,2.013660,40.0097581,,2.013660,116.3802547
2.023420,356.9300000,,2.023650,40.0097594,,2.023650,116.3802546
2.033430,356.9200000,,2.033660,40.0097606,,2.033660,116.3802545
2.043420,356.9100000,,2.043650,40.0097619,,2.043650,116.3802544
2.053420,356.9000000,,2.053650,40.0097632,,2.053650,116.3802543
2.063420,356.9000000,,2.063650,40.0097644,,2.063650,116.3802542
2.074560,356.8900000,,2.074790,40.0097657,,2.074790,116.3802541
2.083920,356.8700000,,2.084150,40.0097670,,2.084150,116.3802541
2.094310,356.8600000,,2.094540,40.0097682,,2.094540,116.3802540
2.103420,356.8500000,,2.103650,40.0097695,,2.103650,116.3802539
2.113410,356.8500000,,2.113640,40.0097708,,2.113640,116.3802538
2.123410,356.8400000,,2.123640,40.0097720,,2.123640,116.3802537
2.133420,356.8300000,,2.133650,40.0097733,,2.133650,116.3802536
2.143420,356.8200000,,2.143640,40.0097746,,2.143640,116.3802535
2.153410,356.8100000,,2.153640,40.0097758,,2.153640,116.3802534
2.163420,356.8000000,,2.163640,40.0097771,,2.163640,116.3802533
2.174550,356.7900000,,2.174780,40.0097784,,2.174780,116.3802532
2.183420,356.7800000,,2.183640,40.0097797,,2.183640,116.3802531
2.193400,356.7700000,,2.193630,40.0097809,,2.193630,116.3802530
2.203410,356.7600000,,2.203640,40.0097822,,2.203640,116.3802529
2.213400,356.7500000,,2.213630,40.0097835,,2.213630,116.3802528
2.223400,356.7400000,,2.223630,40.0097847,,2.223630,116.3802527
2.233390,356.7300000,,2.233610,40.0097860,,2.233610,116.3802526
2.243410,356.7200000,,2.243630,40.0097873,,2.243630,116.3802525
2.253410,356.7100000,,2.253640,40.0097885,,2.253640,116.3802524
2.263390,356.7000000,,2.263620,40.0097898,,2.263620,116.3802523
2.274550,356.6900000,,2.274770,40.0097911,,2.274770,116.3802522
2.283830,356.6800000,,2.284060,40.0097923,,2.284060,116.3802521
2.293860,356.6700000,,2.294090,40.0097936,,2.294090,116.3802520
2.303420,356.6600000,,2.303640,40.0097949,,2.303640,116.3802519
2.313420,356.6500000,,2.313650,40.0097962,,2.313650,116.3802518
2.323420,356.6400000,,2.323650,40.0097974,,2.323650,116.3802518
2.333420,356.6200000,,2.333650,40.0097987,,2.333650,116.3802517
2.343400,356.6100000,,2.343630,40.0098000,,2.343630,116.3802516
2.353410,356.6000000,,2.353630,40.0098012,,2.353630,116.3802515
2.363410,356.5800000,,2.363640,40.0098025,,2.363640,116.3802514
2.374540,356.5600000,,2.374770,40.0098038,,2.374770,116.3802513
2.383400,356.5400000,,2.383630,40.0098051,,2.383630,116.3802512
2.393410,356.5300000,,2.393640,40.0098063,,2.393640,116.3802511
2.403420,356.5200000,,2.403650,40.0098076,,2.403650,116.3802510
2.413400,356.5000000,,2.413620,40.0098089,,2.413620,116.3802509
2.423400,356.4800000,,2.423630,40.0098101,,2.423630,116.3802508
2.433410,356.4600000,,2.433640,40.0098114,,2.433640,116.3802507
2.443400,356.4400000,,2.443620,40.0098127,,2.443620,116.3802506
2.453400,356.4200000,,2.453630,40.0098140,,2.453630,116.3802505
2.463390,356.4100000,,2.463620,40.0098152,,2.463620,116.3802504
2.474520,356.3900000,,2.474740,40.0098165,,2.474740,116.3802503
2.483800,356.3700000,,2.484030,40.0098178,,2.484030,116.3802502
2.493700,356.3500000,,2.493930,40.0098191,,2.493930,116.3802501
2.503380,356.3300000,,2.503600,40.0098203,,2.503600,116.3802500
2.513390,356.3000000,,2.513620,40.0098216,,2.513620,116.3802498
2.523360,356.2800000,,2.523590,40.0098229,,2.523590,116.3802497
2.533360,356.2600000,,2.533600,40.0098242,,2.533600,116.3802496
2.543360,356.2400000,,2.543590,40.0098254,,2.543590,116.3802495
2.553370,356.2200000,,2.553590,40.0098267,,2.553590,116.3802494
2.563370,356.2000000,,2.563600,40.0098280,,2.563600,116.3802493
2.574480,356.1700000,,2.574710,40.0098293,,2.574710,116.3802492
2.583360,356.1400000,,2.583590,40.0098305,,2.583590,116.3802491
2.593360,356.1200000,,2.593590,40.0098318,,2.593590,116.3802489
2.603360,356.1000000,,2.603590,40.0098331,,2.603590,116.3802488
2.613360,356.0700000,,2.613590,40.0098344,,2.613590,116.3802487
2.623370,356.0400000,,2.623600,40.0098356,,2.623600,116.3802486
2.633370,356.0200000,,2.633590,40.0098369,,2.633590,116.3802485
2.643360,355.9900000,,2.643590,40.0098382,,2.643590,116.3802484
2.653370,355.9600000,,2.653590,40.0098395,,2.653590,116.3802482
2.663360,355.9300000,,2.663590,40.0098408,,2.663590,116.3802481
2.674490,355.9000000,,2.674720,40.0098420,,2.674720,116.3802480
2.683770,355.8700000,,2.684000,40.0098433,,2.684000,116.3802479
2.693660,355.8400000,,2.693890,40.0098446,,2.693890,116.3802477
2.703360,355.8100000,,2.703580,40.0098459,,2.703580,116.3802476
2.713360,355.7800000,,2.713580,40.0098471,,2.713580,116.3802475
2.723350,355.7500000,,2.723570,40.0098484,,2.723570,116.3802474
2.733350,355.7200000,,2.733580,40.0098497,,2.733580,116.3802472
2.743350,355.6900000,,2.743570,40.0098510,,2.743570,116.3802471
2.753360,355.6600000,,2.753580,40.0098522,,2.753580,116.3802470
2.763340,355.6200000,,2.763570,40.0098535,,2.763570,116.3802468
2.774470,355.5900000,,2.774700,40.0098548,,2.774700,116.3802467
2.783340,355.5600000,,2.783570,40.0098561,,2.783570,116.3802466
2.793340,355.5200000,,2.793570,40.0098574,,2.793570,116.3802464
